experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda
276,4,fragsvg,2019-08-04,7,6,1,,0.001,1000
277,4,fragip,2019-08-04,5,6,1,,0.001,100
278,4,fragip,2019-08-04,5,6,1,,0.001,500
279,4,fragip,2019-08-04,5,6,1,,0.001,1000
280,4,fragip,2019-08-04,5,3,1,,0.001,100
281,4,fragip,2019-08-04,5,3,1,,0.001,500
282,4,fragip,2019-08-04,5,3,1,,0.001,1000
283,4,fragip,2019-08-04,7,6,1,,0.001,100
284,4,fragip,2019-08-04,7,6,1,,0.001,500
285,4,fragip,2019-08-04,7,6,1,,0.001,1000
286,4,fragmvg,2019-08-11,5,6,1,,0.001,100
287,4,fragmvg,2019-08-11,5,6,1,,0.001,500
288,4,fragmvg,2019-08-11,5,6,1,,0.001,1000
289,4,fragmvg,2019-08-11,5,3,1,,0.001,100
290,4,fragmvg,2019-08-11,5,3,1,,0.001,500
291,4,fragmvg,2019-08-11,5,3,1,,0.001,1000
292,4,fragmvg,2019-08-11,7,6,1,,0.001,100
293,4,fragmvg,2019-08-11,7,6,1,,0.001,500
294,4,fragmvg,2019-08-11,7,6,1,,0.001,1000
295,4,fragsvg,2019-08-11,5,6,1,,0.001,100
296,4,fragsvg,2019-08-11,5,6,1,,0.001,500
297,4,fragsvg,2019-08-11,5,6,1,,0.001,1000
298,4,fragsvg,2019-08-11,5,3,1,,0.001,100
299,4,fragsvg,2019-08-11,5,3,1,,0.001,500
300,4,fragsvg,2019-08-11,5,3,1,,0.001,1000
301,4,fragsvg,2019-08-11,7,6,1,,0.001,100
302,4,fragsvg,2019-08-11,7,6,1,,0.001,500
303,4,fragsvg,2019-08-11,7,6,1,,0.001,1000
304,4,fragip,2019-08-11,5,6,1,,0.001,100
305,4,fragip,2019-08-11,5,6,1,,0.001,500
306,4,fragip,2019-08-11,5,6,1,,0.001,1000
307,4,fragip,2019-08-11,5,3,1,,0.001,100
308,4,fragip,2019-08-11,5,3,1,,0.001,500
309,4,fragip,2019-08-11,5,3,1,,0.001,1000
310,4,fragip,2019-08-11,7,6,1,,0.001,100
311,4,fragip,2019-08-11,7,6,1,,0.001,500
312,4,fragip,2019-08-11,7,6,1,,0.001,1000
313,4,basisip,2019-06-23,5,6,1,,0.001,100
314,4,basisip,2019-06-23,5,6,1,,0.001,500
315,4,basisip,2019-06-23,5,6,1,,0.001,1000
316,4,basisip,2019-06-23,5,3,1,,0.001,100
317,4,basisip,2019-06-23,5,3,1,,0.001,500
318,4,basisip,2019-06-23,5,3,1,,0.001,1000
319,4,basisip,2019-06-23,7,6,1,,0.001,100
320,4,basisip,2019-06-23,7,6,1,,0.001,500
321,4,basisip,2019-06-23,7,6,1,,0.001,1000
322,4,fragcg,2019-06-23,5,6,1,,0.001,100
323,4,fragcg,2019-06-23,5,6,1,,0.001,500
324,4,fragcg,2019-06-23,5,6,1,,0.001,1000
325,4,fragcg,2019-06-23,5,3,1,,0.001,100
326,4,fragcg,2019-06-23,5,3,1,,0.001,500
327,4,fragcg,2019-06-23,5,3,1,,0.001,1000
328,4,fragcg,2019-06-23,7,6,1,,0.001,100
329,4,fragcg,2019-06-23,7,6,1,,0.001,500
330,4,fragcg,2019-06-23,7,6,1,,0.001,1000
331,4,basisip,2019-06-30,5,6,1,0,0.001,100
332,4,basisip,2019-06-30,5,6,1,0,0.001,500
333,4,basisip,2019-06-30,5,6,1,0,0.001,1000
334,4,basisip,2019-06-30,5,3,1,0,0.001,100
335,4,basisip,2019-06-30,5,3,1,0,0.001,500
336,4,basisip,2019-06-30,5,3,1,0,0.001,1000
337,4,basisip,2019-06-30,7,6,1,0,0.001,100
338,4,basisip,2019-06-30,7,6,1,0,0.001,500
339,4,basisip,2019-06-30,7,6,1,0,0.001,1000
340,4,fragcg,2019-06-30,5,6,1,0,0.001,100
341,4,fragcg,2019-06-30,5,6,1,0,0.001,500
342,4,fragcg,2019-06-30,5,6,1,0,0.001,1000
343,4,fragcg,2019-06-30,5,3,1,0,0.001,100
344,4,fragcg,2019-06-30,5,3,1,0,0.001,500
345,4,fragcg,2019-06-30,5,3,1,0,0.001,1000
346,4,fragcg,2019-06-30,7,6,1,0,0.001,100
347,4,fragcg,2019-06-30,7,6,1,0,0.001,500
348,4,fragcg,2019-06-30,7,6,1,0,0.001,1000
349,4,basisip,2019-07-07,5,6,1,0,0.001,100
350,4,basisip,2019-07-07,5,6,1,0,0.001,500
351,4,basisip,2019-07-07,5,6,1,0,0.001,1000
352,4,basisip,2019-07-07,5,3,1,0,0.001,100
353,4,basisip,2019-07-07,5,3,1,0,0.001,500
354,4,basisip,2019-07-07,5,3,1,0,0.001,1000
355,4,basisip,2019-07-07,7,6,1,0,0.001,100
356,4,basisip,2019-07-07,7,6,1,0,0.001,500
357,4,basisip,2019-07-07,7,6,1,0,0.001,1000
358,4,fragcg,2019-07-07,5,6,1,0,0.001,100
359,4,fragcg,2019-07-07,5,6,1,0,0.001,500
360,4,fragcg,2019-07-07,5,6,1,0,0.001,1000
361,4,fragcg,2019-07-07,5,3,1,0,0.001,100
362,4,fragcg,2019-07-07,5,3,1,0,0.001,500
363,4,fragcg,2019-07-07,5,3,1,0,0.001,1000
364,4,fragcg,2019-07-07,7,6,1,0,0.001,100
365,4,fragcg,2019-07-07,7,6,1,0,0.001,500
366,4,fragcg,2019-07-07,7,6,1,0,0.001,1000
367,4,basisip,2019-07-14,5,6,1,0,0.001,100
368,4,basisip,2019-07-14,5,6,1,0,0.001,500
369,4,basisip,2019-07-14,5,6,1,0,0.001,1000
370,4,basisip,2019-07-14,5,3,1,0,0.001,100
371,4,basisip,2019-07-14,5,3,1,0,0.001,500
372,4,basisip,2019-07-14,5,3,1,0,0.001,1000
373,4,basisip,2019-07-14,7,6,1,0,0.001,100
374,4,basisip,2019-07-14,7,6,1,0,0.001,500
375,4,basisip,2019-07-14,7,6,1,0,0.001,1000
376,4,fragcg,2019-07-14,5,6,1,0,0.001,100
377,4,fragcg,2019-07-14,5,6,1,0,0.001,500
378,4,fragcg,2019-07-14,5,6,1,0,0.001,1000
379,4,fragcg,2019-07-14,5,3,1,0,0.001,100
380,4,fragcg,2019-07-14,5,3,1,0,0.001,500
381,4,fragcg,2019-07-14,5,3,1,0,0.001,1000
382,4,fragcg,2019-07-14,7,6,1,0,0.001,100
383,4,fragcg,2019-07-14,7,6,1,0,0.001,500
384,4,fragcg,2019-07-14,7,6,1,0,0.001,1000
385,4,basisip,2019-07-21,5,6,1,0,0.001,100
386,4,basisip,2019-07-21,5,6,1,0,0.001,500
387,4,basisip,2019-07-21,5,6,1,0,0.001,1000
388,4,basisip,2019-07-21,5,3,1,0,0.001,100
389,4,basisip,2019-07-21,5,3,1,0,0.001,500
390,4,basisip,2019-07-21,5,3,1,0,0.001,1000
391,4,basisip,2019-07-21,7,6,1,0,0.001,100
392,4,basisip,2019-07-21,7,6,1,0,0.001,500
393,4,basisip,2019-07-21,7,6,1,0,0.001,1000
394,4,fragcg,2019-07-21,5,6,1,0,0.001,100
395,4,fragcg,2019-07-21,5,6,1,0,0.001,500
