ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_bns_rundate2022-03-24,4,bns,21,16,12,9.617983038,267.8368553,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,55,54,12,10.32550926,251.4133025,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,9,4,12,7.991884028,260.7846741,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,19,11,12,6.846387897,220.2853851,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,3,2,6,1.912431722,52.02696769,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,18,9,12,8.7038975,334.3316596,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,53,45,12,6.595287355,179.1391905,41,41,0,0
ex4_bns_rundate2022-03-24,4,bns,6,10,6,4.152956212,143.1329834,34,34,0,0
ex4_bns_rundate2022-03-24,4,bns,32,35,6,2.545043681,93.40035885,33,33,0,0
ex4_bns_rundate2022-03-24,4,bns,18,12,6,4.539634892,158.6159559,31,31,0,0
ex4_bns_rundate2022-03-24,4,bns,14,24,12,10.58152186,280.8774919,28,28,0,0
ex4_bns_rundate2022-03-24,4,bns,55,50,12,6.86057705,255.3379787,27,27,0,0
ex4_bns_rundate2022-03-24,4,bns,10,19,12,9.25619282,325.538062,27,27,0,0
ex4_bns_rundate2022-03-24,4,bns,48,50,12,10.5722728,287.3163387,25,25,0,0
ex4_bns_rundate2022-03-24,4,bns,18,22,6,4.152508987,136.0815246,24,24,0,0
ex4_bns_rundate2022-03-24,4,bns,22,18,6,3.898087674,136.0815246,24,24,0,0
ex4_bns_rundate2022-03-24,4,bns,40,43,6,5.932486986,166.678026,22,22,0,0
ex4_bns_rundate2022-03-24,4,bns,35,40,6,5.58644162,195.1113804,21,21,0,0
ex4_bns_rundate2022-03-24,4,bns,51,48,12,10.30953611,372.6648239,20,20,0,0
ex4_bns_rundate2022-03-24,4,bns,65,63,12,7.61360891,137.0761093,16,16,0,0
ex4_bns_rundate2022-03-24,4,bns,10,11,6,2.605880337,106.6469161,15,15,0,0
ex4_bns_rundate2022-03-24,4,bns,7,13,12,9.8534625,377.4381027,15,15,0,0
ex4_bns_rundate2022-03-24,4,bns,16,11,6,4.135852867,144.6352909,14,14,0,0
ex4_bns_rundate2022-03-24,4,bns,29,26,6,5.522167636,94.13981621,14,14,0,0
ex4_bns_rundate2022-03-24,4,bns,26,22,6,4.380721243,107.7633541,13,13,0,0
ex4_bns_rundate2022-03-24,4,bns,13,19,12,7.808304348,219.7734253,12,12,0,0
ex4_bns_rundate2022-03-24,4,bns,50,57,12,10.50299284,276.7249105,12,12,0,0
ex4_bns_rundate2022-03-24,4,bns,19,13,12,7.542982048,219.7734253,12,12,0,0
ex4_bns_rundate2022-03-24,4,bns,46,51,12,8.08753047,113.9452827,12,12,0,0
ex4_bns_rundate2022-03-24,4,bns,52,42,12,7.974811415,239.6481888,10,10,0,0
ex4_bns_rundate2022-03-24,4,bns,1,8,12,11.53751889,332.583665,10,10,0,0
ex4_bns_rundate2022-03-24,4,bns,57,59,12,7.456024282,218.2345041,10,10,0,0
ex4_bns_rundate2022-03-24,4,bns,3,6,6,4.47508671,107.6275717,10,10,0,0
ex4_bns_rundate2022-03-24,4,bns,35,39,6,3.205039593,130.0858469,8,8,0,0
ex4_bns_rundate2022-03-24,4,bns,61,60,6,1.75,65.96489919,8,8,0,0
ex4_bns_rundate2022-03-24,4,bns,1,2,6,2.444679226,94.05205987,7,7,0,0
ex4_bns_rundate2022-03-24,4,bns,9,2,12,7.318511948,276.3123927,7,7,0,0
ex4_bns_rundate2022-03-24,4,bns,7,8,6,3.886008352,120.8282938,7,7,0,0
ex4_bns_rundate2022-03-24,4,bns,64,61,6,4.342777778,164.167703,6,6,0,0
ex4_bns_rundate2022-03-24,4,bns,3,9,12,6.705392634,225.1607715,6,6,0,0
ex4_bns_rundate2022-03-24,4,bns,60,53,6,5.573272667,178.5093026,6,6,0,0
ex4_bns_rundate2022-03-24,4,bns,29,31,12,9.621779987,254.7342814,6,6,0,0
ex4_bns_rundate2022-03-24,4,bns,52,58,12,8.061681181,156.613644,6,6,0,0
ex4_bns_rundate2022-03-24,4,bns,39,36,12,10.14914187,274.0342071,5,5,0,0
ex4_bns_rundate2022-03-24,4,bns,60,47,12,10.95853339,398.7083702,5,5,0,0
ex4_bns_rundate2022-03-24,4,bns,13,17,12,7.1058375,219.6476354,5,5,0,0
ex4_bns_rundate2022-03-24,4,bns,18,26,12,8.322250167,243.7285709,5,5,0,0
ex4_bns_rundate2022-03-24,4,bns,64,55,12,10.00760111,361.2456904,4,4,0,0
ex4_bns_rundate2022-03-24,4,bns,17,19,6,3.643151389,44.21079551,4,4,0,0
ex4_bns_rundate2022-03-24,4,bns,14,17,12,9.399953504,284.8849334,4,4,0,0
ex4_bns_rundate2022-03-24,4,bns,1,6,12,8.800940347,231.7069717,4,4,0,0
ex4_bns_rundate2022-03-24,4,bns,7,9,12,10.71324944,429.6105389,4,4,0,0
ex4_bns_rundate2022-03-24,4,bns,49,51,12,6.940666027,237.3921425,3,3,0,0
ex4_bns_rundate2022-03-24,4,bns,27,23,12,8.15627938,213.195847,2,2,0,0
ex4_bns_rundate2022-03-24,4,bns,39,32,12,6.222808362,223.1457221,2,2,0,0
ex4_bns_rundate2022-03-24,4,bns,16,14,12,8.058050185,261.7383866,2,2,0,0
ex4_bns_rundate2022-03-24,4,bns,53,55,6,2.107481111,32.74712563,2,2,0,0
ex4_bns_rundate2022-03-24,4,bns,3,5,6,1.7,65.43250029,2,2,0,0
