method,example,orderid,ordercompleted,orderdist,ordershortestdist,orderdetour,ordertime,ordershortesttime,orderdelay
otd,4,203,1,572.3979404,572.3979404,0.0,29.722140251,23.72214025,0.2529282745050798
otd,4,204,1,166.7754792,166.7754792,0.0,5.794532967000002,5.794532967,2.220446049250313e-16
otd,4,205,0,,,,,,
otd,4,206,1,915.3191413000001,915.3191413,1.2420458897008323e-16,37.467738413000006,31.46773841,0.19067147199537193
otd,4,207,1,1273.4888613,1232.684885,0.03310170895784137,63.46018179399999,57.46018179,0.10442013612014356
otd,4,208,1,757.6036626,739.9753443,0.023822845498556493,39.297454802999994,29.58862278,0.32812720264771955
otd,4,209,0,,,,,,
otd,4,210,1,818.2708144000001,777.4668377,0.052483237511083386,39.297454802999994,32.44402778,0.21123847721597522
otd,4,211,1,572.3979404,572.3979404,0.0,29.722140251,23.72214025,0.2529282745050798
otd,4,212,0,,,,,,
otd,4,213,0,,,,,,
otd,4,214,1,339.73970001,336.3135528,0.010187359924913361,14.245203930999999,14.24520393,7.01989577578388e-11
otd,4,215,1,240.8789548,240.8789548,0.0,12.800324388999996,6.800324389,0.8823108511860722
otd,4,216,1,1640.1173842,1582.751299,0.036244535219301086,73.186124456,61.18612446,0.19612289717491294
otd,4,217,1,1558.5961068,1501.230021,0.03821272223279089,87.16200976900001,63.16200977,0.37997524281438033
otd,4,218,1,653.1320501,651.3577057,0.002724070636568533,34.781224965999996,28.78122497,0.2084692365336802
otd,4,219,1,653.1320501,651.3577057,0.002724070636568533,34.781224965999996,28.78122497,0.2084692365336802
otd,4,220,1,878.5595052499999,853.9893709,0.028771007213012463,41.073730041000005,35.07373004,0.17106820387102473
otd,4,221,1,249.8648853,249.8648853,0.0,7.494825660000004,7.49482566,4.440892098500626e-16
otd,4,222,1,669.9515352999999,637.2205857,0.0513651792401595,31.311860140999997,25.31186014,0.2370430291497334
otd,4,223,0,,,,,,
otd,4,224,1,451.1163339,451.1163339,0.0,20.245203931000006,20.24520393,4.9394710543992915e-11
otd,4,225,1,1229.6483606,1229.332648,0.0002568162494614475,106.48611722000001,52.48611722,1.0288434896727918
otd,4,226,1,1548.1661930000002,1538.477491,0.006297590999334386,65.082065635,65.08206564,-7.682587899182636e-11
otd,4,227,0,,,,,,
otd,4,228,0,,,,,,
otd,4,229,1,1100.0627087999999,855.4680012,0.2859191778732774,45.20443652,39.20443652,0.153043903511765
otd,4,230,1,1228.8931051,1056.486843,0.16318827181078305,57.16200976900001,57.16200977,-1.7494006243623517e-11
otd,4,231,1,846.0830649000001,788.7169795,0.07273342262311482,47.764993770000004,24.42,0.9559784508599509
otd,4,232,0,,,,,,
otd,4,233,0,,,,,,
otd,4,234,1,832.54661095,795.449771,0.04663630728482526,35.722140251,29.72214025,0.20186971565750556
otd,4,235,1,761.0791326,756.0441577,0.006659630722254508,29.722140251,29.72214025,3.364486467205552e-11
otd,4,236,1,956.3683532,949.4630648,0.007272835201287777,33.20443652,33.20443652,0.0
otd,4,237,1,1029.264424,969.7069722,0.06141798863720696,56.001313278,44.00131328,0.2727191327594847
otd,4,238,1,1214.6792256,1173.875249,0.03476006214012965,69.460181794,51.46018179,0.3497850061520351
otd,4,239,1,1033.18378,1015.555462,0.01735830159909084,45.46018179399999,39.46018179,0.15205201121299727
otd,4,240,1,748.4083551,736.1670054,0.016628495450361297,21.050518333,21.05051833,1.4251422264521807e-10
otd,4,241,1,1103.7202767499998,1079.150142,0.022768041066522745,62.545043680999996,43.97987556,0.42212870965658533
otd,4,242,0,,,,,,
otd,4,243,1,1150.8544794,1110.050503,0.03675866664599855,69.297454803,44.44402778,0.5592073505584509
otd,4,244,0,,,,,,
otd,4,245,0,,,,,,
otd,4,246,1,764.7451148,764.7451148,0.0,32.137530522999995,32.13753052,9.334866213350779e-11
otd,4,247,0,,,,,,
otd,4,248,1,1571.1146848,1569.077255,0.0012984891556535594,81.16200976900001,69.16200977,0.17350565778678662
otd,4,249,1,1228.8931051,1056.486843,0.16318827181078305,57.16200976900001,57.16200977,-1.7494006243623517e-11
otd,4,250,1,339.73970001,336.3135528,0.010187359924913361,20.245203931000006,14.24520393,0.4211943914936993
otd,4,251,1,1460.9781937,1403.612108,0.040870326903734565,80.279942197,50.2799422,0.5966593970547562
otd,4,252,1,959.7502327,639.7395193,0.5002203299088889,45.434176667,27.20443652,0.670101736295768
otd,4,253,1,1048.63025608,855.4680012,0.22579717138343383,49.25,39.16200977,0.2575963360728206
otd,4,254,1,246.8461583,246.8461583,0.0,6.517231279999997,6.51723128,-4.440892098500626e-16
otd,4,255,1,852.0552801000001,851.7395678,0.0003706676452939193,53.650121865,37.53191459,0.4294533719123015
