varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,0,5105,10,10,66.0,72.0,36.999999996666666
y,0,5106,11,11,0.0,6.0,38.0
y,0,5107,11,11,6.0,12.0,37.9999999999991
y,0,5108,11,11,12.0,18.0,37.99999999999715
y,0,5109,11,11,18.0,24.0,38.0
y,0,5110,11,11,24.0,30.0,38.0
y,0,5111,11,11,30.0,36.0,38.0
y,0,5112,11,11,36.0,42.0,38.0
y,0,5113,11,11,42.0,48.0,38.0
y,0,5114,11,11,48.0,54.0,38.0
y,0,5115,11,11,54.0,60.0,38.0
y,0,5116,11,11,60.0,66.0,38.0
y,0,5117,11,11,66.0,72.0,38.0
y,0,5118,12,12,0.0,6.0,38.0
y,0,5119,12,12,6.0,12.0,38.0
y,0,5120,12,12,12.0,18.0,38.0
y,0,5121,12,12,18.0,24.0,38.0
y,0,5122,12,12,24.0,30.0,36.00000006741573
y,0,5123,12,12,30.0,36.0,36.00000006741573
y,0,5124,12,12,36.0,42.0,36.00000006741573
y,0,5125,12,12,42.0,48.0,36.00000006741573
y,0,5126,12,12,48.0,54.0,36.00000006741573
y,0,5127,12,12,54.0,60.0,36.00000006741573
y,0,5128,12,12,60.0,66.0,36.00000012800082
y,0,5129,12,12,66.0,72.0,36.00000012800082
y,0,5130,13,13,0.0,6.0,38.0
y,0,5131,13,13,6.0,12.0,38.0
y,0,5132,13,13,12.0,18.0,39.0
y,0,5133,13,13,18.0,24.0,39.0
y,0,5134,13,13,24.0,30.0,39.0
y,0,5135,13,13,30.0,36.0,39.0
y,0,5136,13,13,36.0,42.0,38.0
y,0,5137,13,13,42.0,48.0,38.0
y,0,5138,13,13,48.0,54.0,37.0
y,0,5139,13,13,54.0,60.0,37.0
y,0,5140,13,13,60.0,66.0,37.0
y,0,5141,13,13,66.0,72.0,37.0
y,0,5142,14,14,0.0,6.0,36.0
y,0,5143,14,14,6.0,12.0,36.0
y,0,5144,14,14,12.0,18.0,35.0
y,0,5145,14,14,18.0,24.0,35.0
y,0,5146,14,14,24.0,30.0,35.0
y,0,5147,14,14,30.0,36.0,35.0
y,0,5148,14,14,36.0,42.0,35.0
y,0,5149,14,14,42.0,48.0,35.0
y,0,5150,14,14,48.0,54.0,35.0
y,0,5151,14,14,54.0,60.0,35.0
y,0,5152,14,14,60.0,66.0,35.0
y,0,5153,14,14,66.0,72.0,35.0
y,0,5154,15,15,0.0,6.0,37.0
y,0,5155,15,15,6.0,12.0,37.0
y,0,5156,15,15,12.0,18.0,37.0
y,0,5157,15,15,18.0,24.0,37.0
y,0,5158,15,15,24.0,30.0,37.0
y,0,5159,15,15,30.0,36.0,37.0
y,0,5160,15,15,36.0,42.0,37.0
y,0,5161,15,15,42.0,48.0,37.0
y,0,5162,15,15,48.0,54.0,36.99999999999999
y,0,5163,15,15,54.0,60.0,36.99999999999999
y,0,5164,15,15,60.0,66.0,36.99999999999999
y,0,5165,15,15,66.0,72.0,36.99999999999999
y,0,5166,16,16,0.0,6.0,37.0
y,0,5167,16,16,6.0,12.0,37.00000000000038
y,0,5168,16,16,12.0,18.0,37.0
y,0,5169,16,16,18.0,24.0,37.0
y,0,5170,16,16,24.0,30.0,38.0
y,0,5171,16,16,30.0,36.0,38.0
y,0,5172,16,16,36.0,42.0,38.0
y,0,5173,16,16,42.0,48.0,38.00000006741573
y,0,5174,16,16,48.0,54.0,37.0
y,0,5175,16,16,54.0,60.0,37.0
y,0,5176,16,16,60.0,66.0,37.0
y,0,5177,16,16,66.0,72.0,37.0
y,0,5178,17,17,0.0,6.0,35.999999999999986
y,0,5179,17,17,6.0,12.0,35.999999999999986
y,0,5180,17,17,12.0,18.0,34.999999999999986
y,0,5181,17,17,18.0,24.0,33.999999999999986
y,0,5182,17,17,24.0,30.0,32.999999999999986
y,0,5183,17,17,30.0,36.0,32.999999999999986
y,0,5184,17,17,36.0,42.0,32.999999999999986
y,0,5185,17,17,42.0,48.0,32.999999999999986
y,0,5186,17,17,48.0,54.0,34.99999993258425
y,0,5187,17,17,54.0,60.0,34.99999993258425
y,0,5188,17,17,60.0,66.0,34.99999993258425
y,0,5189,17,17,66.0,72.0,34.99999993258425
y,0,5190,18,18,0.0,6.0,37.0
y,0,5191,18,18,6.0,12.0,37.0
y,0,5192,18,18,12.0,18.0,36.0
y,0,5193,18,18,18.0,24.0,36.0
y,0,5194,18,18,24.0,30.0,34.0
y,0,5195,18,18,30.0,36.0,34.99999993258427
y,0,5196,18,18,36.0,42.0,34.99999993258427
